Category,def
distributed systems,administer bestow small portions distribute disperse widely make available give several people cause distributed cause become widely known spread throughout given area distributed spread statistical analyses mathematically distributive arrange systematic order spread scattered divided instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
cloud computing,collection particles eg smoke dust visible mass water ice particles suspended considerable altitude touch reality cause worry gloom trouble suspicion affecting reputation group many things air ground make overcast cloudy make less visible unclear billow form cloud make gloomy depressed place suspicion cast doubt upon make less clear colour streaks blotches different shades make milky dull branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
internet things,computer network consisting worldwide network computer networks use TCP IP network protocols facilitate data transmission exchange special situation action special abstraction artifact event vaguely specified concern statement regarded object entity named specifically attribute quality considered existence special objective persistent illogical feeling desire aversion separate selfcontained entity movable possession especially articles clothing
mobile,river southwestern Alabama flows Mobile Bay port southwestern Alabama Mobile Bay sculpture suspended midair whose delicately balanced parts set motion air currents migratory moving capable moving readily especially place place transportation available capable changing quickly one state condition another affording change especially social status
wireless,medium communication transmission radio waves electronic receiver detects demodulates amplifies transmitted signals communication system based broadcasting electromagnetic waves wires
5g,
next g communications networks,immediately following time order nearest space position immediately adjoining without intervening space of elected officers of day week nearest one time occasion immediately following metric unit weight equal one thousandth kilogram purine base found DNA RNA pairs cytosine one four nucleotides used building DNA four nucleotides common phosphate group sugar ribose cardinal number product 10 100 unit force equal force exerted gravity used indicate force body subjected accelerated unit information equal 1000 megabytes 109 1000000000 unit information equal 1024 mebibytes 230 1073741824 physics 7th letter Roman alphabet activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group
network architecture,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group architectural product work discipline dealing principles design construction ornamentation fine buildings profession designing buildings environments consideration esthetic effect computer science
biometrics,branch biology studies biological phenomena observations means statistical analysis
cryptography,science analyzing deciphering codes ciphers cryptograms act writing code cipher
digital forensics analysis,displaying numbers rather scale positions relating performed fingers circuit device represents magnitudes digits scientific tests techniques used investigation crimes investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
leadership,activity leading body people lead group status leader ability lead
governance policy,persons or committees departments etc act governing exercising authority plan action adopted individual social group line argument rationalizing course action government written contract certificate insurance
operations,state effect operative business especially one run large scale planned activity involving many people performing various actions computer science especially processing results single instruction activity military naval force as maneuver campaign medical procedure involving incision instruments performed repair damage arrest disease living body process series acts especially practical mechanical nature involved particular form work process manner functioning operating psychology mathematics activity operating something a machine business etc financial transactions brokerage execution trades keeping customer records
privacy,quality secluded presence view others condition concealed hidden
system security including communications,instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc part made consider part something add part something else put part set group category allow participation right part of permit exercise rights functions responsibilities activity communicating activity conveying information something communicated people groups connection allowing access persons places discipline studies principles transmiting information methods delivered as print radio television etc
cyber physical,involving body distinguished mind spirit relating sciences dealing matter energy especially physics substance material existence perceptible senses according material things natural laws other peculiar living matter characterized energetic bodily activity impelled physical force especially resistance concerned material things
hardware,major items military weaponry as tanks missile instrumentalities tools implements computer science
network systems,interconnected system things people broadcasting open fabric string rope wire woven together regular intervals system intersecting lines channels electronics communicate within group instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
data fusion,collection facts conclusions may drawn item factual information derived measurement research occurrence involves production union state combined one body merging adjacent sounds syllables words nuclear reaction nuclei combine form massive nuclei simultaneous release energy combining images two eyes form single visual percept correction unstable part spine joining two vertebrae usually done surgically sometimes done traction immobilization act fusing or melting
data mining big data analysis,collection facts conclusions may drawn item factual information derived measurement research act extracting ores coal etc earth laying explosive mines concealed places destroy enemy personnel equipment get earth excavation lay mines average size number quantity magnitude extent large significant intense bad loud firm conspicuous position importance prodigious exhibiting selfimportance feeling selfimportance of animals marked intense physical force generous understanding tolerant given giving freely advanced stage pregnancy extremely well boastful manner grand scale major way collection facts conclusions may drawn item factual information derived measurement research investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
visualization,mental image similar visual perception
nanomaterials devices,instrumentality invented particular purpose something artistic work designed achieve particular effect clever maneuver ornamental pattern design as embroidery emblematic design especially heraldry inclination desire used plural phrase left devices
sensors small integrated systems,device receives signal stimulus as heat pressure light motion etc slender part back garment size small person limited average number quantity magnitude extent small relatively moderate limited small of children animals slight limited especially degree intensity scope low inferior station quality lowercase of voice fine small constituent particles large sufficient size amount made seem smaller less especially worth small scale make whole make part whole open a place become one become integrated calculate integral of calculate integration formed united whole formed whole introduced another entity segregated designated available races groups resembling living organism organization development instrumentality combines interrelated interacting artifacts designed work coherent entity group independent interrelated elements comprising unified whole physical chemistry complex methods rules governing behavior organized structure arranging classifying group physiologically anatomically related organs parts procedure process obtaining objective living body considered made interdependent components forming unified whole ordered manner orderliness virtue methodical well organized
transmission,act sending message causing message transmitted communication means transmitted signals fraction radiant energy passes substance incident infectious disease transmitted gears transmit power automobile engine via driveshaft live axle
spectrum analysis,ordered array components emission wave broad range related objects values qualities ideas activities investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
signal processing,nonverbal action gesture encodes message incitement action electric quantity voltage current field strength communicate silently nonverbally signals signs signal symptom notably ordinary preparing putting prescribed procedure subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone
accessible ubiquitous computing,capable reached capable read comprehension easily obtained easy get along talk to friendly present everywhere branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
collaborative social computing,accomplished collaboration party people assembled promote sociability communal activity relating human society members living together enjoying life communities organized groups relating belonging characteristic high society composed sociable people formed purpose sociability tending move live together groups colonies kind marked friendly companionship others branch engineering science studies with aid computers procedure calculating determining something mathematical logical methods make mathematical calculation computation
online communities,regular route railroad bus airline system connected computer network accessible computer progress group people living particular local area group people religion ethnic profession particular characteristic common common ownership group nations common interests agreement goals district people live occupied primarily private residences ecology
world wide web,everything exists anywhere people general especially distinctive group people shared interest experiences determine things appear 3rd planet sun planet live people general considered whole part earth considered separately concerns life distinguished heaven afterlife living human inhabitants earth involving entire earth limited provincial scope great or certain broad scope content used eyes large expanse scope great degree ample fabric target broad space fullest extent possible far intended target great extent range far intricate network suggesting something formed weaving interweaving intricate trap entangles ensnares victim flattened weblike part feather consisting series barbs either side shaft interconnected system things people computer network consisting collection internet sites offer text graphics sound animation resources hypertext transfer protocol fabric especially fabric process woven membrane connecting toes aquatic birds mammals construct form web weaving
human computer interaction,living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings machine performing calculations automatically expert calculation or operating calculating machines mutual reciprocal action interacting physics
software analysis,computer science investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud
architecture,architectural product work discipline dealing principles design construction ornamentation fine buildings profession designing buildings environments consideration esthetic effect computer science
construction,act constructing something group words form constituent sentence considered single unit creation construct process combining ideas congruous object thought thing constructed complex entity constructed many parts drawing figure satisfying certain conditions part solving problem proving theorem interpretation text action commercial activity involved repairing old structures constructing new ones
software resilience,computer science physical property material return original shape position deformation exceed elastic limit occurrence rebounding springing back
software testing,computer science act subjecting experimental test order determine well something works examination characteristics something act giving students candidates test as questions put test quality give experimental use test examine presence disease infection examine someones knowledge something show certain characteristic tested achieve certain score rating test determine presence properties a substance undergo test
computational geometry,involving computation computers pure mathematics points lines curves surfaces
combinatorial algorithms,relating involving combinations relating combination arrangement elements sets precise rule or set rules
theory security,wellsubstantiated explanation aspect natural world organized system accepted knowledge applies variety circumstances explain specific set phenomena tentative insight natural world concept yet verified true would explain certain facts phenomena belief guide behavior state free danger injury defense financial failure financial independence freedom anxiety fear formal declaration documents fact relevance finance investment holder right receive interest dividends property creditor claim case default obligation department responsible security institutions property workers guarantee obligation met electrical device sets alarm someone tries break measures taken precaution theft espionage sabotage etc
computer graphics,machine performing calculations automatically expert calculation or operating calculating machines image generated computer photographs visual representations printed publication drawings photographs layout book
computer vision pattern recognition,machine performing calculations automatically expert calculation or operating calculating machines vivid mental image ability see visual faculty perceptual experience seeing formation mental image something perceived real present senses religious mystical experience supernatural appearance perceptual structure customary way operation behavior decorative artistic work something regarded normative example model considered worthy imitation something intended guide making something else path prescribed airplane preparing land airport graphical representation in polar Cartesian coordinates plan create according model models form pattern state quality recognized acknowledged process recognizing something someone remembering approval coming understand something clearly distinctly biology explicit formal acknowledgement government national independence country acceptance as claim designation chair granting person right speak deliberative body
virtual reality,actually almost every respect existing essence effect though actual fact experiences determine things appear state actual real state world really rather might want quality possessed something real
analyzing healthcare records,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment preservation mental physical health preventing treating illness services offered health profession anything such document phonograph record photograph sound recording consisting disk continuous groove used reproduce music rotating phonograph needle tracks groove number wins versus losses ties team sum recognized accomplishments compilation known facts regarding something someone extreme attainment best or worst sport document serve legal evidence transaction list crimes accused person previously convicted make record of set permanent form register electronically indicate certain reading gauges instruments aware
analyzing healthcare records,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment preservation mental physical health preventing treating illness services offered health profession anything such document phonograph record photograph sound recording consisting disk continuous groove used reproduce music rotating phonograph needle tracks groove number wins versus losses ties team sum recognized accomplishments compilation known facts regarding something someone extreme attainment best or worst sport document serve legal evidence transaction list crimes accused person previously convicted make record of set permanent form register electronically indicate certain reading gauges instruments aware
analyzing healthcare records,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment preservation mental physical health preventing treating illness services offered health profession anything such document phonograph record photograph sound recording consisting disk continuous groove used reproduce music rotating phonograph needle tracks groove number wins versus losses ties team sum recognized accomplishments compilation known facts regarding something someone extreme attainment best or worst sport document serve legal evidence transaction list crimes accused person previously convicted make record of set permanent form register electronically indicate certain reading gauges instruments aware
analyzing human movement,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings change position entail change location act changing location one place another natural event involves change position location something group people common ideology try together achieve certain general goals major selfcontained part symphony sonata series actions advancing principle tending toward particular end optical illusion motion produced viewing rapid succession still pictures moving object euphemism defecation general tendency change as opinion driving regulating parts mechanism as watch clock act changing location something
analyzing human movement,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings change position entail change location act changing location one place another natural event involves change position location something group people common ideology try together achieve certain general goals major selfcontained part symphony sonata series actions advancing principle tending toward particular end optical illusion motion produced viewing rapid succession still pictures moving object euphemism defecation general tendency change as opinion driving regulating parts mechanism as watch clock act changing location something
analyzing human movement,consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment living extinct member family Hominidae characterized superior intelligence articulate speech erect carriage characteristic humanity relating person human form attributes opposed animals divine beings change position entail change location act changing location one place another natural event involves change position location something group people common ideology try together achieve certain general goals major selfcontained part symphony sonata series actions advancing principle tending toward particular end optical illusion motion produced viewing rapid succession still pictures moving object euphemism defecation general tendency change as opinion driving regulating parts mechanism as watch clock act changing location something
collecting analyzing data wearable devices,act gathering something together get gather together call obtain payment assemble get together get bring together gather collect consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment collection facts conclusions may drawn item factual information derived measurement research covering designed worn persons body suitable wear able worn instrumentality invented particular purpose something artistic work designed achieve particular effect clever maneuver ornamental pattern design as embroidery emblematic design especially heraldry inclination desire used plural phrase left devices
collecting analyzing data wearable devices,act gathering something together get gather together call obtain payment assemble get together get bring together gather collect consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment collection facts conclusions may drawn item factual information derived measurement research covering designed worn persons body suitable wear able worn instrumentality invented particular purpose something artistic work designed achieve particular effect clever maneuver ornamental pattern design as embroidery emblematic design especially heraldry inclination desire used plural phrase left devices
collecting analyzing data wearable devices,act gathering something together get gather together call obtain payment assemble get together get bring together gather collect consider detail subject analysis order discover essential features meaning make mathematical chemical grammatical analysis of break components essential features break components essential features subject psychoanalytic treatment collection facts conclusions may drawn item factual information derived measurement research covering designed worn persons body suitable wear able worn instrumentality invented particular purpose something artistic work designed achieve particular effect clever maneuver ornamental pattern design as embroidery emblematic design especially heraldry inclination desire used plural phrase left devices
diagnostic medicine,concerned diagnosis used furthering diagnosis characteristic indicative disease branches medical science deal nonsurgical techniques medicine learned profession mastered graduate training medical school devoted preventing alleviating curing diseases injuries punishment ones actions treat medicinally treat medicine
diagnostic medicine,concerned diagnosis used furthering diagnosis characteristic indicative disease branches medical science deal nonsurgical techniques medicine learned profession mastered graduate training medical school devoted preventing alleviating curing diseases injuries punishment ones actions treat medicinally treat medicine
diagnostic medicine,concerned diagnosis used furthering diagnosis characteristic indicative disease branches medical science deal nonsurgical techniques medicine learned profession mastered graduate training medical school devoted preventing alleviating curing diseases injuries punishment ones actions treat medicinally treat medicine
modeling health outcomes statistical analysis including longitudinal,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model healthy state wellbeing free disease general condition body mind something results phenomenon follows caused previous phenomenon relating statistics investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud part made consider part something add part something else put part set group category allow participation right part of permit exercise rights functions responsibilities relating lines longitude running lengthwise extended time
modeling health outcomes statistical analysis including longitudinal,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model healthy state wellbeing free disease general condition body mind something results phenomenon follows caused previous phenomenon relating statistics investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud part made consider part something add part something else put part set group category allow participation right part of permit exercise rights functions responsibilities relating lines longitude running lengthwise extended time
modeling health outcomes statistical analysis including longitudinal,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model healthy state wellbeing free disease general condition body mind something results phenomenon follows caused previous phenomenon relating statistics investigation component parts whole relations making whole abstract separation whole constituent parts order study parts relations form literary criticism structure piece writing analyzed use closedclass words instead inflections eg the father bride instead the brides father branch mathematics involving calculus theory limits sequences series integration differentiation set techniques exploring underlying motives method treating various mental disorders based theories Sigmund Freud part made consider part something add part something else put part set group category allow participation right part of permit exercise rights functions responsibilities relating lines longitude running lengthwise extended time
time series,instance single occasion event period time considered resource control sufficient accomplish something indefinite period usually marked specific attributes activities suitable moment continuum experience events pass future present past persons experience particular occasion reading point time given clock fourth coordinate required along three spatial dimensions rhythm given division parts equal duration period time prisoner imprisoned measure time duration event action person performs action certain period time assign time activity event set speed duration execution regulate set time adjust force applied action occurs desired time similar things placed order happening one another serialized set programs periodical appears scheduled times sports electronics group postage stamps common theme group coins currency selected group study collection mathematics
time series,instance single occasion event period time considered resource control sufficient accomplish something indefinite period usually marked specific attributes activities suitable moment continuum experience events pass future present past persons experience particular occasion reading point time given clock fourth coordinate required along three spatial dimensions rhythm given division parts equal duration period time prisoner imprisoned measure time duration event action person performs action certain period time assign time activity event set speed duration execution regulate set time adjust force applied action occurs desired time similar things placed order happening one another serialized set programs periodical appears scheduled times sports electronics group postage stamps common theme group coins currency selected group study collection mathematics
time series,instance single occasion event period time considered resource control sufficient accomplish something indefinite period usually marked specific attributes activities suitable moment continuum experience events pass future present past persons experience particular occasion reading point time given clock fourth coordinate required along three spatial dimensions rhythm given division parts equal duration period time prisoner imprisoned measure time duration event action person performs action certain period time assign time activity event set speed duration execution regulate set time adjust force applied action occurs desired time similar things placed order happening one another serialized set programs periodical appears scheduled times sports electronics group postage stamps common theme group coins currency selected group study collection mathematics
survival models,state surviving remaining alive natural process resulting evolution organisms best adapted environment something survives hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
survival models,state surviving remaining alive natural process resulting evolution organisms best adapted environment something survives hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
survival models,state surviving remaining alive natural process resulting evolution organisms best adapted environment something survives hypothetical description complex entity process type product person poses photographer painter sculptor representation something sometimes smaller scale something imitated someone worthy imitation representative form pattern woman wears clothes display fashions act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
modeling nanoparticles,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
modeling nanoparticles,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
modeling nanoparticles,sculpture produced molding preliminary sculpture wax clay finished work copied act representing something usually smaller scale plan create according model models form clay wax etc assume posture artistic purposes display clothes create representation model construct model
bio inspired nanoarchitectures control cell behavior,heighten intensify supply inspiration serve inciting cause spur encourage especially cheers shouts fill revolutionary ideas draw air surpassing excellence suggest inspiration gods power direct determine relation constraint one entity thing person group physiology standard conditions compared scientific experiment activity managing exerting control something state exists one person group power another discipline personal social activities great skillfulness knowledge subject activity mechanism controls operation machine spiritual agency assumed assist medium seance economic policy controlling limiting curbing prices wages etc exercise authoritative control power lessen intensity of temper hold restraint hold keep within limits handle cause function maintain influence others oneself check regulate a scientific experiment place restrictions limit access law verify using duplicate register comparison careful certain something make certain something firm understanding knowledge of top small compartment biology monads device delivers electric current result chemical reaction small unit serving part nucleus larger political movement handheld mobile radiotelephone use area divided small sections shortrange transmitter receiver small room monk nun lives room prisoner kept manner acting controlling action reaction something as machine substance behavioral attributes psychology
